fixed acidity;volatile acidity;residual sugar;pH
7.7;0.6;2.6;3.38
10.1;0.27;2.3;3.17
10.8;0.89;2.6;2.99
8.7;0.46;2.5;3.1
9.3;0.37;1.6;3.24
9.4;0.5;3.6;3.29
9.4;0.5;3.6;3.29
7.2;0.61;4;3.25
8.6;0.55;3.3;3.23
5.1;0.585;1.7;3.56
7.7;0.56;2.5;3.24
8.4;0.52;2.7;3.26
8.2;0.28;2.4;3.33
8.4;0.25;2;3.27
8.2;0.28;2.4;3.33
7.4;0.53;1.9;3.26
7.6;0.48;2.8;3.22
7.3;0.49;2.6;3.3
12.9;0.5;2.8;3.09
10.8;0.45;2.5;3.24
6.9;0.39;2.1;3.44
12.6;0.41;2.8;3.21
10.8;0.45;2.5;3.24
9.8;0.51;3.2;3.23
10.8;0.29;1.6;3.28
7.1;0.715;2.35;3.29
9.1;0.66;3.2;3.28
7;0.685;1.9;3.34
4.9;0.42;2.1;3.71
6.7;0.54;2;3.61
6.7;0.54;2;3.61
7.1;0.48;2.8;3.24
7.1;0.46;2.8;3.36
7.5;0.27;2.3;3.4
7.1;0.46;2.8;3.36
7.8;0.57;2.3;3.46
5.9;0.61;2.1;3.56
7.5;0.685;2.5;3.38
5.9;0.61;2.1;3.56
10.4;0.44;1.5;3.38
11.6;0.47;1.6;3.38
8.8;0.685;1.6;3.32
7.6;0.665;1.5;3.39
6.7;0.28;2.4;3.26
6.7;0.28;2.4;3.26
10.1;0.31;1.6;3.24
6;0.5;2.2;3.46
11.1;0.42;2.65;3.24
6.6;0.66;3;3.45
10.6;0.5;2.6;3.23
7.1;0.685;2;3.28
9.9;0.25;1.7;3.18
6.4;0.64;1.8;3.59
6.4;0.64;1.8;3.59
7.4;0.68;1.8;3.5
6.4;0.64;1.8;3.59
6.4;0.63;1.6;3.58
9.3;0.43;1.9;3.28
9.3;0.43;1.9;3.28
8;0.42;2.5;3.22
9.3;0.36;1.5;3.47
9.3;0.36;1.5;3.47
7.6;0.735;2.5;3.51
9.3;0.36;1.5;3.47
8.2;0.26;2.5;3.4
11.7;0.28;1.7;3.15
6.8;0.56;1.8;3.4
7.2;0.62;2.7;3.51
5.8;1.01;2;3.66
7.5;0.42;2.7;3.24
7.2;0.62;2.5;3.51
7.2;0.62;2.7;3.51
7.2;0.635;2.6;3.51
6.8;0.49;2.3;3.41
6.9;0.51;2;3.4
6.8;0.56;1.8;3.4
7.6;0.63;2;3.44
7.7;0.715;2.1;3.41
6.9;0.56;1.5;3.53
7.3;0.35;2;3.43
9.1;0.21;1.6;3.23
10.4;0.38;2.1;3.12
8.8;0.31;2.8;3.31
7.1;0.47;2.2;3.4
7.7;0.715;2.1;3.41
8.8;0.61;4;3.22
7.2;0.6;2.5;3.53
9.2;0.56;1.6;3.15
7.6;0.715;2.1;3.48
8.4;0.31;3.1;3.22
7.2;0.6;2.5;3.53
8.8;0.61;4;3.22
8.9;0.75;2.5;3.34
9;0.8;2.4;3.33
10.7;0.52;2.6;3.15
6.8;0.57;2.5;3.43
10.7;0.9;6.6;3.22
7.2;0.34;2;3.44
7.2;0.66;2.3;3.53
10.1;0.45;1.9;3.22
7.2;0.66;2.3;3.53
7.2;0.63;2.2;3.53
7.1;0.59;2.3;3.42
8.3;0.31;2.4;3.31
7.1;0.59;2.3;3.42
8.3;0.31;2.4;3.31
8.3;1.02;3.4;3.48
8.9;0.31;2.6;3.4
7.4;0.635;2.4;3.58
7.4;0.635;2.4;3.58
6.8;0.59;6;3.41
6.8;0.59;6;3.41
9.2;0.58;3;3.23
7.2;0.54;2.6;3.39
6.1;0.56;2.2;3.59
7.4;0.52;2.4;3.43
7.3;0.305;1.2;3.29
9.3;0.38;3.8;3.23
9.1;0.28;9;3.18
10;0.46;2.9;3.33
9.4;0.395;4.6;3.27
7.3;0.305;1.2;3.29
8.6;0.315;2.2;3.27
5.3;0.715;1.5;3.62
6.8;0.41;8.8;3.38
8.4;0.36;2.2;3.3
8.4;0.62;1.8;3.38
9.6;0.41;2.3;3.24
8.4;0.36;2.2;3.3
8.4;0.62;1.8;3.38
6.8;0.41;8.8;3.38
8.6;0.47;2.3;3.18
8.6;0.22;1.9;3.47
9.4;0.24;2.3;3.47
8.4;0.67;2.2;3.2
8.6;0.47;2.3;3.18
8.7;0.33;3.3;3.3
6.6;0.61;1.9;3.69
7.4;0.61;2;3.48
7.6;0.4;1.9;3.45
7.4;0.61;2;3.48
6.6;0.61;1.9;3.69
8.8;0.3;2.3;3.39
8.8;0.3;2.3;3.39
12;0.63;1.4;3.07
7.2;0.38;2.8;3.34
6.2;0.46;1.6;3.61
9.6;0.33;2.2;3.36
9.9;0.27;5;3.19
10.1;0.43;2.6;3.22
9.8;0.5;2.3;3.24
8.3;0.3;3.8;3.27
10.2;0.44;2;3.14
10.2;0.44;4.1;3.29
8.3;0.28;2.1;3.26
8.9;0.12;1.8;3.41
8.9;0.12;1.8;3.41
8.9;0.12;1.8;3.41
8.3;0.28;2.1;3.26
8.2;0.31;2.2;3.31
10.2;0.34;2.1;3.2
7.6;0.43;2.7;3.44
8.5;0.21;1.9;3.36
9;0.36;2.1;3.31
9.5;0.37;2;3.29
6.4;0.57;2.3;3.47
8;0.59;2;3.36
8.5;0.47;1.9;3.16
7.1;0.56;1.6;3.27
6.6;0.57;2.1;3.38
8.8;0.27;2;3.15
8.5;0.47;1.9;3.16
8.3;0.34;2.4;3.34
9;0.38;2.4;3.13
8.5;0.66;2.1;3.13
9;0.4;2.4;3.2
6.7;0.56;2.9;3.46
10.4;0.26;1.9;3.33
10.4;0.26;1.9;3.33
10.1;0.38;2.4;3.22
8.5;0.34;1.7;3.52
8.8;0.33;5.9;3.3
7.2;0.41;2.1;3.44
7.2;0.41;2.1;3.44
8.4;0.59;2.6;3.15
7;0.4;3.6;3.28
12.2;0.45;1.4;3.13
9.1;0.5;1.9;3.32
9.5;0.86;1.9;3.25
7.3;0.52;2.1;3.34
9.1;0.5;1.9;3.32
12.2;0.45;1.4;3.13
7.4;0.58;2;3.45
9.8;0.34;1.4;3.19
7.1;0.36;1.6;3.44
7.7;0.39;1.7;3.16
9.7;0.295;1.5;3.14
7.7;0.39;1.7;3.16
7.1;0.34;2;3.45
6.5;0.4;2;3.36
7.1;0.34;2;3.45
10;0.35;2.5;3.15
7.7;0.6;2;3.39
5.6;0.66;2.2;3.71
5.6;0.66;2.2;3.71
8.9;0.84;1.4;3.12
6.4;0.69;1.65;3.47
7.5;0.43;2.2;3.44
9.9;0.35;1.5;3.26
9.1;0.29;2.05;3.26
6.8;0.36;1.8;3.36
8.2;0.43;1.6;3.25
6.8;0.36;1.8;3.36
9.1;0.29;2.05;3.26
9.1;0.3;2;3.26
8.9;0.35;3.6;3.23
9.6;0.5;2.8;3.18
8.9;0.28;1.7;3.25
8.9;0.32;2;3.17
7.7;1.005;2.1;3.23
7.5;0.71;1.6;3.38
8;0.58;2;3.22
10.5;0.39;2.2;3.06
8.9;0.38;2.2;3.27
8;0.18;0.9;2.89
8;0.18;0.9;2.89
7;0.5;1.8;3.53
11.3;0.36;2.4;3.2
11.3;0.36;2.4;3.2
7;0.51;2.1;3.35
8.2;0.32;2.3;3.27
7.7;0.58;1.8;3.32
8.6;0.83;2.8;3.33
7.9;0.31;1.9;3.41
6.4;0.795;2.2;3.49
7.2;0.34;2.5;3.37
7.7;0.58;1.8;3.32
7.1;0.59;2.1;3.42
7.3;0.55;1.8;3.35
8.1;0.82;4.1;3.36
7.5;0.57;2.6;3.3
8.9;0.745;2.5;3.2
10.1;0.37;2.4;3.17
7.6;0.31;2.5;3.22
7.3;0.91;1.8;3.35
8.7;0.41;6.2;3.24
8.9;0.5;2.2;3.33
7.4;0.965;2.2;3.58
6.9;0.49;1.7;3.38
8.9;0.5;2.2;3.33
9.5;0.39;8.9;3.29
6.4;0.39;3.3;3.36
6.9;0.44;1.4;3.32
7.6;0.78;1.7;3.31
7.1;0.43;1.8;3.49
9.3;0.49;1.7;3.27
9.3;0.5;1.8;3.27
7.1;0.43;1.8;3.49
8.5;0.46;1.4;3.03
5.6;0.605;2.4;3.56
8.3;0.33;2.3;3.38
8.2;0.64;2;3.13
8.2;0.64;2;3.13
8.9;0.48;4;3.21
7.6;0.42;3.9;3.15
9.9;0.53;2.4;3.19
8.9;0.48;4;3.21
11.6;0.23;1.8;3.14
9.1;0.4;1.8;3.21
8;0.38;1.9;3.3
10.2;0.29;2.4;3.22
8.2;0.74;2;3.28
7.7;0.61;2.4;3.29
6.6;0.52;2.4;3.4
11.1;0.31;2.2;3.02
11.1;0.31;2.2;3.02
8;0.62;2.8;3.31
9.3;0.33;1.5;3.18
7.5;0.77;8.1;3.2
7.2;0.35;1.8;3.4
8;0.62;2.7;3.31
7.5;0.77;8.1;3.2
9.1;0.25;2;3.44
9.9;0.32;2;3.15
8.6;0.37;6.4;3.27
8.6;0.37;6.4;3.27
7.9;0.3;8.3;3.01
10.3;0.27;1.4;3.16
7.9;0.3;8.3;3.01
7.2;0.38;1.8;3.42
8.7;0.42;2.4;3.33
7.2;0.38;1.8;3.42
6.8;0.48;1.8;3.12
8.5;0.34;4.7;3.38
7.9;0.19;1.6;3.29
11.6;0.41;1.5;3.02
11.6;0.41;1.5;3.02
10;0.26;1.9;2.98
7.9;0.34;2;3.35
7;0.54;2;3.43
9.2;0.31;2.2;3.33
6.6;0.725;5.5;3.35
9.4;0.4;2.5;3.15
6.6;0.725;5.5;3.35
8.6;0.52;1.5;3.2
8;0.31;2.1;3.15
8.6;0.52;1.5;3.2
8.4;0.34;2.1;3.11
7.4;0.49;2.1;3.35
6.1;0.48;1.7;3.45
7.4;0.49;2.1;3.35
8;0.48;2.2;3.28
6.3;0.57;2.1;3.41
8.2;0.23;1.9;3.21
9.1;0.3;2;3.27
8.1;0.78;3.3;3.36
10.8;0.47;2.1;3.17
8.3;0.53;1.4;3.25
5.4;0.42;2;3.78
7.9;0.33;1.5;3.29
8.9;0.24;1.6;3.12
5;0.4;4.3;3.49
7;0.69;2.5;3.38
7;0.69;2.5;3.38
7;0.69;2.5;3.38
7.1;0.39;2.1;3.3
5.6;0.66;2.5;3.52
7.9;0.54;2.5;3.2
6.6;0.5;1.8;3.44
6.3;0.47;1.4;3.45
10.7;0.4;1.9;3.12
6.5;0.58;2.2;3.62
8.8;0.24;1.7;3.14
5.8;0.29;1.7;3.39
6.3;0.76;2.9;3.51
10;0.43;2.7;3.22
10.5;0.43;3.3;3.21
9.1;0.6;1.9;3.18
5.9;0.19;1.7;3.32
7.4;0.36;1.8;3.38
7.2;0.48;5.5;3.37
8.5;0.28;1.7;3.3
8;0.25;1.7;3.38
10.4;0.52;2;3.22
10.4;0.52;2;3.22
7.5;0.41;3.7;3.14
8.2;0.51;2;3.34
7.3;0.4;1.7;3.41
8.2;0.38;2.5;3.27
6.9;0.45;2.4;3.3
7;0.22;1.8;3.61
7.3;0.32;2.3;3.43
8.2;0.2;2.5;3.53
7.8;0.5;1.8;3.28
10;0.41;6.2;3.21
7.8;0.39;2;3.39
10;0.35;2;3.23
8.2;0.33;2.8;3.3
6.1;0.58;2.5;3.46
8.3;0.6;2.2;3.15
9.6;0.42;2.1;3.23
6.6;0.58;2.2;3.59
8.3;0.6;2.2;3.15
8.5;0.18;1.75;3.33
5.1;0.51;2.1;3.46
6.7;0.41;2.8;3.42
10.2;0.41;2.2;3.16
10.6;0.36;2.3;3.14
8.8;0.45;1.4;3.21
8.5;0.32;2.3;3.14
9;0.785;1.7;3.29
9;0.785;1.7;3.29
8.5;0.44;1.9;3.01
9.9;0.54;2;2.94
8.2;0.33;2.5;3.32
6.5;0.34;2.8;3.21
7.6;0.5;2.3;3.32
9.2;0.36;1.6;3.2
7.1;0.59;2.2;3.42
9.7;0.42;2.1;3.27
7.6;0.36;1.7;3.46
7.6;0.36;1.7;3.46
6.5;0.61;2.2;3.61
6.5;0.88;5.6;3.58
7.1;0.66;2.4;3.35
5.6;0.915;2.1;3.68
8.2;0.35;2.4;3.27
8.2;0.35;2.4;3.27
9.8;0.39;1.65;3.19
10.2;0.4;2.5;3.38
6.8;0.66;1.6;3.29
6.7;0.64;2.1;3.36
7;0.43;2;3.33
6.6;0.8;7.8;3.52
7;0.43;2;3.33
6.7;0.64;2.1;3.36
8.8;0.955;1.8;3.3
9.1;0.4;4.6;3.28
6.5;0.885;2.3;3.56
7.2;0.25;2.5;3.52
6.4;0.885;2.3;3.56
7;0.745;1.8;3.22
6.2;0.43;1.8;3.52
7.9;0.58;2.3;3.21
7.7;0.57;1.5;3.16
7.7;0.26;2;3.15
7.9;0.58;2.3;3.21
7.7;0.57;1.5;3.16
7.9;0.34;1.9;3.27
8.6;0.42;1.8;3.35
9.9;0.74;5.8;3.14
7.2;0.36;2.1;3.4
7.2;0.36;2.1;3.4
7.2;0.36;2.1;3.4
9.9;0.72;1.7;3.35
7.2;0.36;2.1;3.4
6.2;0.39;2;3.45
6.8;0.65;2.1;3.35
6.6;0.44;2.1;3.32
6.8;0.65;2.1;3.35
9.6;0.38;1.9;3.15
10.2;0.33;1.9;3.1
8.8;0.27;2.1;3.26
7.9;0.57;2;3.29
8.2;0.34;1.9;3.23
8.2;0.4;1.9;3.24
9;0.39;1.3;3.2
10.9;0.32;1.8;3.28
10.9;0.32;1.8;3.28
8.1;0.53;2.2;3.26
10.5;0.36;2.2;3.23
12.6;0.39;2.5;3.07
9.2;0.46;2.6;3.15
7.5;0.58;4.1;3.02
9;0.58;2;3.27
5.1;0.42;1.8;3.68
7.6;0.43;2.1;3.4
7.7;0.18;2.7;3.37
7.8;0.815;2.6;3.38
7.6;0.43;2.1;3.4
10.2;0.23;2.2;3.23
7.1;0.75;2.2;3.39
6;0.33;12.9;3.3
7.8;0.55;1.7;3.26
7.1;0.75;2.2;3.39
8.1;0.73;2.5;3.38
6.5;0.67;4.3;3.45
7.5;0.61;1.7;3.1
9.8;0.37;2.5;3.16
9;0.4;2;3.22
8.3;0.56;2.4;3.37
5.9;0.29;13.4;3.33
7.4;0.55;1.8;3.49
7.4;0.74;1.7;3.12
7.4;0.55;1.8;3.49
6.9;0.41;2.2;3.41
7.1;0.6;2.3;3.4
7.1;0.6;2.3;3.4
7.5;0.58;2.2;3.28
7.1;0.72;1.8;3.45
7.9;0.66;1.4;3.43
7.8;0.7;1.9;3.4
6.1;0.64;2.4;3.47
7.5;0.59;1.8;3.1
7;0.58;4.8;3.32
6.8;0.64;2.7;3.44
6.8;0.64;2.7;3.44
8.6;0.635;1.8;3.02
6.3;1.02;2;3.59
9.8;0.45;2.5;3.15
8.2;0.78;2.2;3.37
8.5;0.37;1.8;3.38
7.2;0.57;2.3;3.38
7.2;0.57;2.3;3.38
10.4;0.43;2.3;3.1
6.9;0.41;2;3.47
5.5;0.49;1.8;3.5
5;0.38;1.6;3.7
7.3;0.44;1.6;3.38
5.9;0.46;1.9;3.5
7.5;0.58;2;3.1
7.8;0.58;2.1;3.24
8;0.715;2.3;3.24
8.5;0.4;6.3;3.28
7;0.69;1.9;3.35
8;0.715;2.3;3.24
9.8;0.3;1.7;3.14
7.1;0.46;1.9;3.37
7.1;0.46;1.9;3.37
7.9;0.765;2;3.33
8.7;0.63;2.7;3.26
7;0.42;2.3;3.39
11.3;0.37;1.8;3.15
7.1;0.16;2.5;3.35
8;0.6;2.6;3.22
7;0.6;4.5;3.3
7;0.6;4.5;3.3
7.6;0.74;1.9;3.36
8.2;0.635;2.1;3.29
5.9;0.395;2.4;3.62
7.5;0.755;1.9;3.34
8.2;0.635;2.1;3.29
6.6;0.63;4.3;3.2
6.6;0.63;4.3;3.2
7.2;0.53;2.1;3.35
5.7;0.6;1.4;3.45
7.6;1.58;2.1;3.5
5.2;0.645;2.15;3.78
6.7;0.86;2;3.6
9.1;0.37;2.1;3.3
8;0.28;1.8;3.36
7.6;0.79;2.3;3.12
7.5;0.61;1.9;3.3
9.7;0.69;2.5;3.29
6.8;0.68;3.9;3.41
9.7;0.69;2.5;3.29
7;0.62;1.4;3.28
7.5;0.61;1.9;3.3
6.5;0.51;3;3.33
8;1.18;1.9;3.34
7;0.36;2.3;3.4
7;0.36;2.4;3.4
7.5;0.63;2;3.26
5.4;0.74;1.2;4.01
9.9;0.44;2.2;3.18
7.5;0.63;2;3.26
9.1;0.76;1.7;2.9
9.7;0.66;2.6;3.26
5;0.74;1.2;4.01
9.1;0.34;1.8;3.18
9.1;0.36;1.8;3.18
6.7;0.46;1.7;3.39
6.7;0.46;1.7;3.39
6.7;0.46;1.7;3.39
6.7;0.46;1.7;3.39
6.5;0.52;1.8;3.34
7.4;0.6;2.1;3.29
7.4;0.6;2.1;3.29
7.8;0.87;3.8;3.26
8.4;0.39;1.7;3.09
9.1;0.775;2.2;3.18
7.2;0.835;2;3.39
6.6;0.58;2.4;3.38
6;0.5;1.4;3.36
6;0.5;1.4;3.36
6;0.5;1.4;3.36
7.5;0.51;1.7;3.36
7.5;0.51;1.7;3.36
7.5;0.51;1.7;3.36
7.6;0.54;1.7;3.37
7.5;0.51;1.7;3.36
11.5;0.42;2.6;3.09
8.2;0.44;2.3;3.25
6.1;0.59;2.1;3.52
7.2;0.655;1.8;3.34
7.2;0.655;1.8;3.34
6.9;0.57;2.8;3.41
9;0.6;2;3.34
7.2;0.62;2.3;3.32
7.6;0.645;1.9;3.37
7.6;0.645;1.9;3.37
7.2;0.58;2.3;3.35
6.1;0.32;1.8;3.36
6.1;0.34;1.8;3.36
7.3;0.43;2.5;3.6
7.4;0.64;5.4;3.28
11.6;0.475;1.4;3.07
9.2;0.54;2.3;3.24
8.3;0.85;2.5;3.36
11.6;0.475;1.4;3.07
8;0.83;2;3.29
7.2;0.605;1.9;3.46
7.8;0.5;2.2;3.18
7.3;0.74;1.7;3.24
6.9;0.54;2.2;3.25
8;0.77;2.1;3.27
6.6;0.61;1.6;3.33
8.7;0.78;1.7;3
7.5;0.58;3.1;3.21
8.7;0.78;1.7;3
7.7;0.75;3.8;3.24
6.8;0.815;1.2;3.32
7.2;0.56;2;3.26
8.2;0.885;1.4;3.11
5.2;0.49;2.3;3.71
7.2;0.45;2;3.29
7.5;0.57;2.6;3.36
7.5;0.57;2.6;3.36
6.8;0.83;1.8;3.38
8;0.6;2.1;3.3
8;0.6;2.1;3.3
7.1;0.755;1.8;3.19
8;0.81;3.4;3.19
7.4;0.64;1.8;3.3
7.4;0.64;1.8;3.3
6.6;0.64;6.1;3.35
6.7;0.48;2.2;3.1
6;0.49;2.3;3.58
8;0.64;2.4;3.37
7.1;0.62;1.3;3.17
8;0.52;2;3.3
6.4;0.57;3.9;3.32
8.6;0.685;1.6;3.31
8.7;0.675;1.6;3.31
7.3;0.59;2;3.28
7;0.6;2.2;3.52
7.2;0.67;2.2;3.42
7.9;0.69;2.1;3.25
7.9;0.69;2.1;3.25
7.6;0.3;2;3.44
7.2;0.33;1.7;3.23
8;0.5;2.6;3.43
7.7;0.28;2;3.28
8.2;0.24;5.1;3.22
6;0.51;2.1;3.54
8.1;0.29;2.2;3.27
6;0.51;2.1;3.54
6.6;0.96;1.8;3.5
6.4;0.47;2.4;3.56
8.2;0.24;5.1;3.22
9.9;0.57;2;3.04
10;0.32;2.2;3.2
6.2;0.58;1.6;3.56
10;0.32;2.2;3.2
7.3;0.34;2.5;3.35
7.8;0.53;1.6;3.16
7.7;0.64;2.2;3.27
7.8;0.53;1.6;3.16
7.5;0.4;1.6;3.34
7;0.54;2.1;3.39
6.4;0.53;3.9;3.5
8.3;0.26;1.4;3.26
8.3;0.26;1.4;3.26
7.7;0.23;1.8;3.41
7.6;0.41;2.5;3.3
7.8;0.64;1.9;3.31
7.9;0.18;2.2;3.33
7.4;0.41;1.8;3.37
7.6;0.43;2.1;3.26
5.9;0.44;1.6;3.48
6.1;0.4;1.8;3.42
10.2;0.54;15.4;3.18
10.2;0.54;15.4;3.18
10;0.38;1.6;3.15
6.8;0.915;4.8;3.53
7;0.59;1.7;3.41
7.3;0.67;2.2;3.32
7.2;0.37;2;3.23
7.4;0.785;5.2;3.16
6.9;0.63;1.9;3.4
6.9;0.58;1.75;3.38
7.3;0.67;2.2;3.32
7.4;0.785;5.2;3.16
6.9;0.63;1.9;3.4
6.8;0.67;1.9;3.4
6.9;0.58;1.9;3.4
7.2;0.38;2;3.23
7.2;0.37;2;3.23
7.8;0.32;2.7;3.33
6.6;0.58;2;3.35
7.6;0.49;1.9;3.41
11.7;0.45;2.2;3.21
6.5;0.9;1.6;3.5
6;0.54;1.8;3.3
7.6;0.49;1.9;3.41
8.4;0.29;1.7;3.39
7.9;0.2;1.7;3.32
6.4;0.42;2.3;3.41
6.2;0.785;2.1;3.59
6.8;0.64;2.3;3.36
6.9;0.63;2.4;3.34
6.8;0.59;1.7;3.41
6.8;0.59;1.7;3.41
7.3;0.48;2.1;3.3
6.7;1.04;2.3;3.52
7.3;0.48;2.1;3.3
7.3;0.98;2.1;3.31
10;0.69;1.4;2.88
6.7;0.7;3.75;3.43
7.6;0.35;2.6;3.38
6.1;0.6;1.8;3.38
9.9;0.5;13.8;3.16
5.3;0.47;2.2;3.54
9.9;0.5;13.8;3.16
5.3;0.47;2.2;3.54
7.1;0.875;5.7;3.4
8.2;0.28;3;3.39
5.6;0.62;1.5;3.66
8.2;0.28;3;3.39
7.2;0.58;2.1;3.33
8.1;0.33;1.5;3.35
6.8;0.91;2;3.53
7;0.655;2.1;3.37
6.8;0.68;2.1;3.38
6;0.64;1.9;3.52
5.6;0.54;1.7;3.72
6.2;0.57;2.1;3.44
7.1;0.22;1.8;3.39
5.6;0.54;1.7;3.72
6.2;0.65;1.6;3.57
7.7;0.54;1.9;3.26
6.4;0.31;1.4;3.42
7;0.43;1.9;3.35
7.7;0.54;1.9;3.26
6.9;0.74;2.3;3.45
6.6;0.895;2.3;3.53
6.9;0.74;2.3;3.45
7.5;0.725;1.5;3.26
7.8;0.82;4.3;3.16
7.3;0.585;2.4;3.31
6.2;0.44;2.5;3.51
7.5;0.38;2.3;3.36
6.7;0.76;1.8;3.55
6.8;0.81;2;3.51
7.5;0.38;2.3;3.36
7.1;0.27;2.1;3.38
7.9;0.18;1.8;3.28
6.4;0.36;2.2;3.47
7.1;0.69;2.1;3.44
6.4;0.79;2.2;3.53
6.4;0.56;1.8;3.33
6.9;0.84;4.1;3.53
6.9;0.84;4.1;3.53
6.1;0.32;2.3;3.42
6.5;0.53;2;3.38
7.4;0.47;2.2;3.32
6.6;0.7;2.6;3.44
6.5;0.53;2;3.38
6.9;0.48;1.9;3.39
6.1;0.32;2.3;3.42
6.8;0.48;2;3.34
6;0.42;2;3.39
6.7;0.48;2.1;3.33
6.8;0.47;2.2;3.3
7.1;0.53;1.7;3.29
7.9;0.29;2.2;3.31
7.1;0.69;2.1;3.42
6.6;0.44;2.2;3.42
6.1;0.705;2.8;3.6
7.2;0.53;2;3.21
8;0.39;1.9;3.39
6.6;0.56;2.4;3.42
7;0.55;2.2;3.36
6.1;0.53;1.9;3.6
5.4;0.58;1.9;3.5
6.2;0.64;2.5;3.57
7.2;0.39;1.8;3.46
6.2;0.52;4.4;3.56
7.4;0.25;2.2;3.4
6.7;0.855;1.9;3.3
11.1;0.44;2.2;3.25
8.4;0.37;2.3;3.17
6.5;0.63;1.8;3.36
7;0.57;2;3.36
6.3;0.6;1.6;3.55
11.2;0.4;2;3.1
7.4;0.36;1.8;3.24
7.1;0.68;2.3;3.45
7.1;0.67;2.3;3.44
6.3;0.68;3.7;3.51
7.3;0.735;2.2;3.41
6.6;0.855;2.4;3.54
7;0.56;1.7;3.44
6.6;0.88;2.2;3.53
6.6;0.855;2.4;3.54
6.9;0.63;6.7;3.22
7.8;0.6;2;3.21
7.8;0.6;2;3.21
7.8;0.6;2;3.21
7.2;0.695;2;3.29
7.2;0.695;2;3.29
7.2;0.695;2;3.29
6.7;0.67;1.9;3.39
6.7;0.16;2.1;3.34
7.2;0.695;2;3.29
7;0.56;1.6;3.34
6.2;0.51;1.9;3.48
6.4;0.36;2.2;3.37
6.4;0.38;2.2;3.44
7.3;0.69;2.2;3.33
6;0.58;2.4;3.58
5.6;0.31;13.9;3.39
7.5;0.52;2.2;3.26
8;0.3;1.6;3.3
6.2;0.7;5.1;3.54
6.8;0.67;1.8;3.42
6.2;0.56;1.7;3.54
7.4;0.35;2.4;3.36
6.2;0.56;1.7;3.54
6.1;0.715;2.6;3.57
6.2;0.46;2.1;3.33
6.7;0.32;2.4;3.29
7.2;0.39;2.6;3.3
7.5;0.31;2.4;3.34
5.8;0.61;1.8;3.55
7.2;0.66;2.5;3.27
6.6;0.725;7.8;3.29
6.3;0.55;1.8;3.32
5.4;0.74;1.7;3.67
6.3;0.51;2.3;3.42
6.8;0.62;1.9;3.42
6.2;0.6;2;3.45
5.9;0.55;2.2;3.52
6.3;0.51;2.3;3.42
5.9;0.645;2;3.57
6;0.31;3.6;3.39
